,Presente,Imperfetto,Passato remoto,Futuro semplice,Passato prossimo,Trapassato prossimo,Trapassato remoto,Futuro anteriore,Congiuntivo presente,Congiuntivo imperfetto,Congiuntivo passato,Congiuntivo trapassato,Condizionale semplice,Condizionale composto,Imperativo
fare,"['faccio', 'fai', 'fa', 'facciamo', 'fate', 'fanno']","['facevo', 'facevi', 'faceva', 'facevamo', 'facevate', 'facevano']","['feci', 'facesti', 'fece', 'facemmo', 'faceste', 'fecero']","['farò', 'farai', 'farà', 'faremo', 'farete', 'faranno']","['ho fatto', 'hai fatto', 'ha fatto', 'abbiamo fatto', 'avete\xa0fatto', 'hanno fatto']","['avevo fatto', 'avevi fatto', 'aveva\xa0fatto', 'avevamo fatto', 'avevate\xa0fatto', 'avevano fatto']","['ebbi fatto', 'avesti fatto', 'ebbe\xa0fatto', 'avemmo fatto', 'aveste\xa0fatto', 'ebbero fatto']","['avrò fatto', 'avrai fatto', 'avrà\xa0fatto', 'avremo fatto', 'avrete\xa0fatto', 'avranno fatto']","['faccia', 'faccia', 'faccia', 'facciamo', 'facciate', 'facciano']","['facessi', 'facessi', 'facesse', 'facessimo', 'faceste', 'facessero']","['abbia fatto', 'abbia fatto', 'abbia fatto', 'abbiamo fatto', 'abbiate fatto', 'abbiano fatto']","['avessi fatto', 'avessi fatto', 'avesse fatto', 'avessimo fatto', 'aveste fatto', 'avessero fatto']","['farei', 'faresti', 'farebbe', 'faremmo', 'fareste', 'farebbero']","['avrei fatto', 'avresti fatto', 'avrebbe fatto', 'avremmo fatto', 'avreste fatto', 'avrebbero fatto']","['==', 'fa/fa’/fai', 'faccia', 'facciamo', 'fate', 'facciano']"
intendere,"['intendo', 'intendi', 'intende', 'intendiamo', 'intendete', 'intendono']","['intendevo', 'intendevi', 'intendeva', 'intendevamo', 'intendevate', 'intendevano']","['intesi', 'intendesti', 'intese', 'intendemmo', 'intendeste', 'intesero']","['intenderò', 'intenderai', 'intenderà', 'intenderemo', 'intenderete', 'intenderanno']","['ho inteso', 'hai inteso', 'ha inteso', 'abbiamo inteso', 'avete inteso', 'hanno inteso']","['avevo inteso', 'avevi inteso', 'aveva inteso', 'avevamo inteso', 'avevate inteso', 'avevano inteso']","['ebbi inteso', 'avesti inteso', 'ebbe inteso', 'avemmo inteso', 'aveste inteso', 'ebbero inteso']","['avrò inteso', 'avrai inteso', 'avrà inteso', 'avremo inteso', 'avrete inteso', 'avranno inteso']","['intenda', 'intenda', 'intenda', 'intendiamo', 'intendiate', 'intendano']","['intendessi', 'intendessi', 'intendesse', 'intendessimo', 'intendeste', 'intendessero']","['abbia inteso', 'abbia inteso', 'abbia inteso', 'abbiamo inteso', 'abbiate inteso', 'abbiano inteso']","['avessi inteso', 'avessi inteso', 'avesse inteso', 'avessimo inteso', 'aveste inteso', 'avessero inteso']","['intenderei', 'intenderesti', 'intenderebbe', 'intenderemmo', 'intendereste', 'intenderebbero']","['avrei inteso', 'avresti inteso', 'avrebbe inteso', 'avremmo inteso', 'avreste inteso', 'avrebbero inteso']","['==', 'intendi', 'intenda', 'intendiamo', 'intendete', 'intendano']"
potere,"['posso', 'puoi', 'può', 'possiamo', 'potete', 'possono']","['potevo', 'potevi', 'poteva', 'potevamo', 'potevate', 'potevano']","['potei', 'potesti', 'poté', 'potemmo', 'poteste', 'poterono']","['potrò', 'potrai', 'potrà', 'potremo', 'potrete', 'potranno']","['ho potuto', 'hai potuto', 'ha potuto', 'abbiamo potuto', 'avete potuto', 'hanno potuto']","['avevo potuto', 'avevi potuto', 'aveva potuto', 'avevamo potuto', 'avevate potuto', 'avevano potuto']","['ebbi potuto', 'avesti potuto', 'ebbe potuto', 'avemmo potuto', 'aveste potuto', 'ebbero potuto']","['avrò potuto', 'avrai potuto', 'avrà potuto', 'avremo potuto', 'avrete potuto', 'avranno potuto']","['possa', 'possa', 'possa', 'possiamo', 'possiate', 'possano']","['potessi', 'potessi', 'potesse', 'potessimo', 'poteste', 'potessero']","['abbia potuto', 'abbia potuto', 'abbia potuto', 'abbiamo potuto', 'abbiate potuto', 'abbiano potuto']","['avessi potuto', 'avessi potuto', 'avesse potuto', 'avessimo potuto', 'aveste potuto', 'avessero potuto']","['potrei', 'potresti', 'potrebbe', 'potremmo', 'potreste', 'potrebbero']","['avrei potuto', 'avresti potuto', 'avrebbe potuto', 'avremmo potuto', 'avreste potuto', 'avrebbero potuto']","['==', '==', '==', '==', '==', '==']"
prendere,"['prendo', 'prendi', 'prende', 'prendiamo', 'prendete', 'prendono']","['prendevo', 'prendevi', 'prendeva', 'prendevamo', 'prendevate', 'prendevano']","['presi', 'prendesti', 'prese', 'prendemmo', 'prendeste', 'presero']","['prenderò', 'prenderai', 'prenderà', 'prenderemo', 'prenderete', 'prenderanno']","['ho preso', 'hai preso', 'ha preso', 'abbiamo preso', 'avete preso', 'hanno preso']","['avevo preso', 'avevi preso', 'aveva preso', 'avevamo preso', 'avevate preso', 'avevano preso']","['ebbi preso', 'avesti preso', 'ebbe preso', 'avemmo preso', 'aveste preso', 'ebbero preso']","['avrò preso', 'avrai preso', 'avrà preso', 'avremo preso', 'avrete preso', 'avranno preso']","['prenda', 'prenda', 'prenda', 'prendiamo', 'prendiate', 'prendano']","['prendessi', 'prendessi', 'prendesse', 'prendessimo', 'prendeste', 'prendessero']","['abbia preso', 'abbia preso', 'abbia preso', 'abbiamo preso', 'abbiate preso', 'abbiano preso']","['avessi preso', 'avessi preso', 'avesse preso', 'avessimo preso', 'aveste preso', 'avessero preso']","['prenderei', 'prenderesti', 'prenderebbe', 'prenderemmo', 'prendereste', 'prenderebbero']","['avrei preso', 'avresti preso', 'avrebbe preso', 'avremmo preso', 'avreste preso', 'avrebbero preso']","['==', 'prendi', 'prenda', 'prendiamo', 'prendete', 'prendano']"
rendere,"['rendo', 'rendi', 'rende', 'rendiamo', 'rendete', 'rendono']","['rendevo', 'rendevi', 'rendeva', 'rendevamo', 'rendevate', 'rendevano']","['resi', 'rendesti', 'rese', 'rendemmo', 'rendeste', 'resero']","['renderò', 'renderai', 'renderà', 'renderemo', 'renderete', 'renderanno']","['ho reso', 'hai reso', 'ha reso', 'abbiamo reso', 'avete reso', 'hanno reso']","['avevo reso', 'avevi reso', 'aveva reso', 'avevamo reso', 'avevate reso', 'avevano reso']","['ebbi reso', 'avesti reso', 'ebbe reso', 'avemmo reso', 'aveste reso', 'ebbero reso']","['avrò reso', 'avrai reso', 'avrà reso', 'avremo reso', 'avrete reso', 'avranno reso']","['renda', 'renda', 'renda', 'rendiamo', 'rendiate', 'rendano']","['rendessi', 'rendessi', 'rendesse', 'rendessimo', 'rendeste', 'rendessero']","['abbia reso', 'abbia reso', 'abbia reso', 'abbiamo reso', 'abbiate reso', 'abbiano reso']","['avessi reso', 'avessi reso', 'avesse reso', 'avessimo reso', 'aveste reso', 'avessero reso']","['renderei', 'renderesti', 'renderebbe', 'renderemmo', 'rendereste', 'renderebbero']","['avrei reso', 'avresti reso', 'avrebbe reso', 'avremmo reso', 'avreste reso', 'avrebbero reso']","['==', 'rendi', 'renda', 'rendiamo', 'rendete', 'rendano']"
spendere,"['spendo', 'spendi', 'spende', 'spendiamo', 'spendete', 'spendono']","['spendevo', 'spendevi', 'spendeva', 'spendevamo', 'spendevate', 'spendevano']","['spesi', 'spendesti', 'spese', 'spendemmo', 'spendeste', 'spesero']","['spenderò', 'spenderai', 'spenderà', 'spenderemo', 'spenderete', 'spenderanno']","['ho speso', 'hai speso', 'ha speso', 'abbiamo speso', 'avete speso', 'hanno speso']","['avevo speso', 'avevi speso', 'aveva speso', 'avevamo speso', 'avevate speso', 'avevano speso']","['ebbi speso', 'avesti speso', 'ebbe speso', 'avemmo speso', 'aveste speso', 'ebbero speso']","['avrò speso', 'avrai speso', 'avrà speso', 'avremo speso', 'avrete speso', 'avranno speso']","['spenda', 'spenda', 'spenda', 'spendiamo', 'spendiate', 'spendano']","['spendessi', 'spendessi', 'spendesse', 'spendessimo', 'spendeste', 'spendessero']","['abbia speso', 'abbia speso', 'abbia speso', 'abbiamo speso', 'abbiate speso', 'abbiano speso']","['avessi speso', 'avessi speso', 'avesse speso', 'avessimo speso', 'aveste speso', 'avessero speso']","['spenderei', 'spenderesti', 'spenderebbe', 'spenderemmo', 'spendereste', 'spenderebbero']","['avrei speso', 'avresti speso', 'avrebbe speso', 'avremmo speso', 'avreste speso', 'avrebbero speso']","['==', 'spendi', 'spenda', 'spendiamo', 'spendete', 'spendano']"
stare,"['sto', 'stai', 'sta', 'stiamo', 'state', 'stanno']","['stavo', 'stavi', 'stava', 'stavamo', 'stavate', 'stavano']","['stetti', 'stesti', 'stette', 'stemmo', 'steste', 'stettero']","['starò', 'starai', 'starà', 'staremo', 'starete', 'staranno']","['sono stato/a', 'sei stato/a', 'è stato/a', 'siamo stati/e', 'siete stati/e', 'sono stati/e']","['ero\xa0stato/a', 'eri\xa0stato/a', 'era\xa0stato/a', 'eravamo\xa0stati/e', 'eravate\xa0stati/e', 'erano\xa0stati/e']","['fui stato/a', 'fosti\xa0stato/a', 'fu stato/a', 'fummo\xa0stati/e', 'foste\xa0stati/e', 'furono stati/e']","['sarò\xa0stato/a', 'sarai\xa0stato/a', 'sarà\xa0stato/a', 'saremo\xa0stati/e', 'sarete\xa0stati/e', 'saranno\xa0stati/e']","['stia', 'stia', 'stia', 'stiamo', 'stiate', 'stiano']","['stessi', 'stessi', 'stesse', 'stessimo', 'steste', 'stessero']","['sia\xa0stato/a', 'sia\xa0stato/a', 'sia\xa0stato/a', 'siamo\xa0stati/e', 'siate\xa0stati/e', 'siano\xa0stati/e']","['fossi\xa0stato/a', 'fossi\xa0stato/a', 'fosse\xa0stato/a', 'fossimo\xa0stati/e', 'foste\xa0stati/e', 'fossero\xa0stati/e']","['starei', 'staresti', 'starebbe', 'staremmo', 'stareste', 'starebbero']","['sarei\xa0stato/a', 'saresti\xa0stato/a', 'sarebbe\xa0stato/a', 'saremmo\xa0stati/e', 'sareste\xa0stati/e', 'sarebbero\xa0stati/e']","['==', 'sta/sta’/stai', 'stia', 'stiamo', 'state', 'stiano']"
stendere,"['stendo', 'stendi', 'stende', 'stendiamo', 'stendete', 'stendono']","['stendevo', 'stendevi', 'stendeva', 'stendevamo', 'stendevate', 'stendevano']","['stesi', 'stendesti', 'stese', 'stendemmo', 'stendeste', 'stesero']","['stenderò', 'stenderai', 'stenderà', 'stenderemo', 'stenderete', 'stenderanno']","['ho steso', 'hai steso', 'ha steso', 'abbiamo steso', 'avete steso', 'hanno steso']","['avevo steso', 'avevi steso', 'aveva steso', 'avevamo steso', 'avevate steso', 'avevano steso']","['ebbi steso', 'avesti steso', 'ebbe steso', 'avemmo steso', 'aveste steso', 'ebbero steso']","['avrò steso', 'avrai steso', 'avrà steso', 'avremo steso', 'avrete steso', 'avranno steso']","['stenda', 'stenda', 'stenda', 'stendiamo', 'stendiate', 'stendano']","['stendessi', 'stendessi', 'stendesse', 'stendessimo', 'stendeste', 'stendessero']","['abbia steso', 'abbia steso', 'abbia steso', 'abbiamo steso', 'abbiate steso', 'abbiano steso']","['avessi steso', 'avessi steso', 'avesse steso', 'avessimo steso', 'aveste steso', 'avessero steso']","['stenderei', 'stenderesti', 'stenderebbe', 'stenderemmo', 'stendereste', 'stenderebbero']","['avrei steso', 'avresti steso', 'avrebbe steso', 'avremmo steso', 'avreste steso', 'avrebbero steso']","['==', 'stendi', 'stenda', 'stendiamo', 'stendete', 'stendano']"
tendere,"['tendo', 'tendi', 'tende', 'tendiamo', 'tendete', 'tendono']","['tendevo', 'tendevi', 'tendeva', 'tendevamo', 'tendevate', 'tendevano']","['tesi', 'tendesti', 'tese', 'tendemmo', 'tendeste', 'tesero']","['tenderò', 'tenderai', 'tenderà', 'tenderemo', 'tenderete', 'tenderanno']","['ho teso', 'hai teso', 'ha teso', 'abbiamo teso', 'avete teso', 'hanno teso']","['avevo teso', 'avevi teso', 'aveva teso', 'avevamo teso', 'avevate teso', 'avevano teso']","['ebbi teso', 'avesti teso', 'ebbe teso', 'avemmo teso', 'aveste teso', 'ebbero teso']","['avrò teso', 'avrai teso', 'avrà teso', 'avremo teso', 'avrete teso', 'avranno teso']","['tenda', 'tenda', 'tenda', 'tendiamo', 'tendiate', 'tendano']","['tendessi', 'tendessi', 'tendesse', 'tendessimo', 'tendeste', 'tendessero']","['abbia teso', 'abbia teso', 'abbia teso', 'abbiamo teso', 'abbiate teso', 'abbiano teso']","['avessi teso', 'avessi teso', 'avesse teso', 'avessimo teso', 'aveste teso', 'avessero teso']","['tenderei', 'tenderesti', 'tenderebbe', 'tenderemmo', 'tendereste', 'tenderebbero']","['avrei teso', 'avresti teso', 'avrebbe teso', 'avremmo teso', 'avreste teso', 'avrebbero teso']","['==', 'tendi', 'tenda', 'tendiamo', 'tendete', 'tendano']"
volere,"['voglio', 'vuoi', 'vuole', 'vogliamo', 'volete', 'vogliono']","['volevo', 'volevi', 'voleva', 'volevamo', 'volevate', 'volevano']","['volli', 'volesti', 'volle', 'volemmo', 'voleste', 'vollero']","['vorrò', 'vorrai', 'vorrà', 'vorremo', 'vorrete', 'vorranno']","['ho voluto', 'hai voluto', 'ha voluto', 'abbiamo voluto', 'avete voluto', 'hanno voluto']","['avevo voluto', 'avevi voluto', 'aveva voluto', 'avevamo voluto', 'avevate voluto', 'avevano voluto']","['ebbi voluto', 'avesti voluto', 'ebbe voluto', 'avemmo voluto', 'aveste voluto', 'ebbero voluto']","['avrò voluto', 'avrai voluto', 'avrà voluto', 'avremo voluto', 'avrete voluto', 'avranno voluto']","['voglia', 'voglia', 'voglia', 'vogliamo', 'vogliate', 'vogliano']","['volessi', 'volessi', 'volesse', 'volessimo', 'voleste', 'volessero']","['abbia voluto', 'abbia voluto', 'abbia voluto', 'abbiamo voluto', 'abbiate voluto', 'abbiano voluto']","['avessi voluto', 'avessi voluto', 'avesse voluto', 'avessimo voluto', 'aveste voluto', 'avessero voluto']","['vorrei', 'vorresti', 'vorrebbe', 'vorremmo', 'vorreste', 'vorrebbero']","['avrei voluto', 'avresti voluto', 'avrebbe voluto', 'avremmo voluto', 'avreste voluto', 'avrebbero voluto']","['==', 'vogli', 'voglia', 'vogliamo', 'vogliate', 'vogliano']"
